Tên,Đánh giá,Thời gian,Review,sentiment,pain_point_flag,category,summary
Traveler55158016782,5 sao,5 tháng trước trên,"Tuần trước trong chuyến du lịch TP.HCM, vợ chồng tôi ở một căn hộ tại Landmark gần đó và tình cờ biết đến khách sạn Oakwood Hotel & Apartments Saigon. Sau khi ghé trải nghiệm, chúng tôi thực sự rất hài lòng.|Khách sạn có cơ sở vật chất rất …",Positive,False,Room_Amenities,Khách hàng hài lòng với cơ sở vật chất của khách sạn.
Trung Nguyễn,5 sao,4 tháng trước trên,"Mình vừa có dịp lưu trú tại Oakwood Hotel & Apartments Saigon và thật sự rất hài lòng. Khách sạn có vị trí khá thuận tiện, dễ dàng di chuyển đến trung tâm cũng như các khu vực ăn uống, giải trí. …",Positive,False,Location_and_Access,Vị trí thuận tiện cho việc di chuyển và giải trí.
sơn trần văn,1 sao,2 tháng trước trên,"Shipper. Giao hàng có mấy đồng 1 đơn mà đâụ xe bên ngoài bảo vệ không cho, bắt gửi xe trong toà nhà. Đồng ý vậy đi, mà phí gửi xe chém tới 15k/lượt cho xe máy, phí còn mắc hơn mấy toà nhà chọc trời khu trung tâm quận 1. Bảng giá gửi xe cũng …",Negative,True,Pricing_and_Fees,Phí gửi xe quá cao và quy định đỗ xe gây bất tiện cho shipper.
Iris Moon,5 sao,2 tháng trước trên,"Mình rất hài lòng với dịch vụ cũng như tiện nghi ở đây. Chỉ có điều làm mình hơi khó chịu đó là lúc lễ tân làm thủ tục đã vô tình đọc thành tiếng thông tin cá nhân của mình. Mặc dù chỉ là ngày tháng năm sinh thôi nhưng mình vẫn thấy không thoải mái, hy vọng lễ tân sẽ khắc phục điều này",Negative,True,Staff_Service,Nhân viên lễ tân làm lộ thông tin cá nhân của khách hàng.
Pioneer01337107177,5 sao,3 tháng trước trên,"Tôi đã có những trải nghiệm thật sự tuyệt vời tại nơi đây khi đi cùng bạn. Ngay từ lúc nhận phòng, chúng tôi đã cảm nhận được sự thân thiện và hiếu khách từ đội ngũ nhân viên – luôn niềm nở, tận tình hỗ trợ. Không gian phòng sạch sẽ, gọn …",Positive,False,Staff_Service,"Nhân viên thân thiện, nhiệt tình và phòng ốc sạch sẽ."
Venture50365989868,5 sao,2 tháng trước trên,"Khách sạn rất đẹp, nhân viên tận tình và chuyên nghiệp trong phục vụ, view phòng thoáng mát sạch sẽ.",Positive,False,Staff_Service,"Khách sạn đẹp, nhân viên tận tình, phòng sạch sẽ."
Journey45971810800,5 sao,5 tháng trước trên,"Trải nghiệm tại Oakwood thật sự đáng đồng tiền bát gạo. Phòng ốc thiết kế tinh tế, hiện đại và ấm cúng như ở nhà. Nhân viên hỗ trợ tận tâm, chuyên nghiệp. Một lựa chọn hoàn hảo cho kỳ nghỉ.",Positive,False,Boutique_Experience,"Trải nghiệm đáng tiền, phòng thiết kế tinh tế, nhân viên chuyên nghiệp."
Journey10733817818,5 sao,2 tháng trước trên,Phòng mới hiện đại tiện nghi. Nhân viên chuyên nghiệp. Sẽ quay lại cho dịp tới,Positive,False,Room_Amenities,"Phòng hiện đại, tiện nghi, nhân viên chuyên nghiệp."
Phong Truong,5 sao,6 tháng trước trên,Vi trí kg quá ồn ào. Phòng sach đầy đủ tiện nghi. Các bạn nhân viên vui vẻ thân thiện. Tuyệt vời.,Positive,False,Location_and_Access,"Vị trí yên tĩnh, phòng sạch, nhân viên thân thiện."
Global37953815946,5 sao,6 tháng trước trên,"Rất thoải mái khi ở tại đây, khách sạn thật chu đáo khi đáp ứng các nhu cầu của mình, mình thật sự đánh giá cao cách họ phục vụ tại đây. Mình sẽ giới thiệu nơi này cho người thân và bạn bè của mình, vị trí khách sạn cũng rất thuận lợi mặc dù hơi xa trung tâm quận 1 nhưng chỉ tốn 10-15 phút đi xe vẫn rất là tiện.",Positive,False,Staff_Service,"Dịch vụ chu đáo, vị trí thuận lợi dù hơi xa trung tâm."
FarAway62082108019,5 sao,7 tháng trước trên,Trải nghiệm tại Oakwood thật sự đáng nhớ. Khách sạn không chỉ là nơi nghỉ ngơi mà còn mang đến cảm giác ấm áp và thân thiện thông qua chất lượng dịch vụ tuyệt vời. Từ không gian đến cách phục vụ đều khiến tôi cảm thấy gần gũi như đang ở …,Positive,False,Boutique_Experience,"Trải nghiệm đáng nhớ, không gian ấm áp và dịch vụ tuyệt vời."
Bình Hứa,5 sao,9 tháng trước trên,"Giữa vô vàn các khách sạn trên khắp Sài Gòn, thật sự mình rất thích nơi đây, cảm giác thật sự rất thân thuộc, mọi thứ họ cung cấp đều rất chu đáo và chuyên nghiệp. các bạn nhân viên đều rất hỗ trợ và nhiệt tình, mình thích cách bài trí từ …",Positive,False,Boutique_Experience,"Cảm giác thân thuộc, dịch vụ chu đáo và nhân viên nhiệt tình."
_cnM6102JA,5 sao,7 tháng trước trên,"Khách sạn 4 sao với dịch vụ chuyên nghiệp và không gian sạch sẽ, thoải mái. Nhân viên thân thiện, hỗ trợ nhiệt tình và luôn tạo cảm giác dễ chịu cho khách. Tôi rất hài lòng và sẽ quay lại trong những lần lưu trú tiếp theo.",Positive,False,Staff_Service,"Dịch vụ chuyên nghiệp, không gian sạch sẽ, nhân viên thân thiện."
Passport20529896744,5 sao,6 tháng trước trên,"Chúng tôi đánh giá cao sự nhiệt tình và tận tâm của các bạn nhân viên, đội ngũ lễ tân đã làm cho kì nghỉ chúng tôi trở nên tuyệt vời, chúng tôi sẽ quay lại trong thời gian sớm nhất.",Positive,False,Staff_Service,Đội ngũ nhân viên nhiệt tình và tận tâm.
Trí Vũ,5 sao,5 tháng trước trên,"Phòng đẹp, sạch sẽ. Dịch vụ tốt. Lễ tân lịch sự và vị trí đẹp.",Positive,False,Room_Amenities,"Phòng đẹp, sạch sẽ, dịch vụ tốt và vị trí đẹp."
Nha Trang,5 sao,9 tháng trước trên,"Tôi đã ở ks Oakwood tại Tp Hồ Chí Minh trong chuyến công tác vừa rồi. Đây quả thật là một nơi đã cho tôi trải nghiệm các dịch vụ chuyên nghiệp, tinh tế đến từng chi tiết, xứng đáng là ks đạt tiêu chuẩn đẳng cấp quốc tế. Phòng ốc sạch sẽ, …",Positive,False,Boutique_Experience,"Trải nghiệm dịch vụ chuyên nghiệp, tinh tế và phòng ốc sạch sẽ."
Hoa Lê,5 sao,một năm trước trên,"Khách sạn thật sự xứng đáng 5 sao – từ không gian sang trọng, tiện nghi hiện đại đến đội ngũ nhân viên vô cùng chuyên nghiệp và nhiệt tình. Mọi chi tiết đều được chăm chút kỹ lưỡng, mang đến cảm giác thoải mái và đẳng cấp. Rất xịn xò và đáng để quay lại!",Positive,False,Boutique_Experience,"Không gian sang trọng, tiện nghi hiện đại và nhân viên chuyên nghiệp."
Su Van,5 sao,3 tháng trước trên,"Phòng đẹp, vị trí đẹp, nhân viên dễ thương, dịch vụ ok",Positive,False,Others,"Phòng đẹp, vị trí tốt và nhân viên dễ thương."
Roving11888099447,5 sao,6 tháng trước trên,"Tôi đã ở đây và cực kỳ thích cách họ phục vụ, mọi thứ đều rất chỉn chu và tận tâm. Sẽ quay lại vào lần tới 🤩 …",Positive,False,Staff_Service,Dịch vụ chỉn chu và tận tâm.
Kim Le,5 sao,một năm trước trên,"Mình và bạn chọn ở Oakwood vì gần landmark 81, gần train station (Tân Cảng) để ra Quận 1, tiện ăn uống vui chơi mua sắm với bạn bè. Phòng ốc rộng rãi, sạch sẽ, đầy đủ tiện nghi, dạng service apartment có phòng khách tách biệt với phòng ngủ, …",Positive,False,Location_and_Access,"Vị trí thuận tiện gần Landmark 81 và ga tàu, phòng ốc rộng rãi."
Vũ Nguyên,5 sao,10 tháng trước trên,"Nhân viên khách sạn thân thiện, hỗ trợ nhiệt tình
Phòng rộng thoải mái,sạch sẽ, cảm giác như ở nhà hơn là khách sạn
Gần landmark 81,thuận tiện đi lại …",Positive,False,Staff_Service,"Nhân viên thân thiện, phòng sạch sẽ và vị trí thuận tiện."
Ai Le,5 sao,một năm trước trên,"Lần đầu mình trải nghiệm dịch vụ ở khách sạn và rất hài lòng. Phòng ở sạch sẽ, nhân viên nhiệt tình hỗ trợ ngay lúc mình cần. Vị trí Khách sạn thì gần Metro và Landmark81, rất hợp lý với nhu cầu muốn đi tham quan của gia đình của mình.",Positive,False,Location_and_Access,"Phòng sạch, nhân viên nhiệt tình và vị trí gần Metro, Landmark 81."
Doan Duc Nguyen,5 sao,7 tháng trước trên,"Nhân viên thân thiện, dịch vụ tốt, phòng hiện đại, view đẹp, sẽ quay lại dịp sau",Positive,False,Room_Amenities,"Nhân viên thân thiện, phòng hiện đại và view đẹp."
Nguyễn Hoàng Khang,5 sao,9 tháng trước trên,"Khách sạn rất là tốt từ dịch vụ , phòng cho đến các bạn nhân viên, mình rất thích cách phục vụ và tôn trọng khách hàng của khách sạn. Chắc chắn sẽ quay lại vào lần tiếp theo 🥰 …",Positive,False,Staff_Service,"Dịch vụ tốt, nhân viên tôn trọng khách hàng."
09 - Nguyễn Thị Trà My,5 sao,10 tháng trước trên,"Tôi đã có những trải nghiệm thật sự tuyệt vời tại nơi đây khi đi cùng bạn. Ngay từ lúc nhận phòng, chúng tôi đã cảm nhận được sự thân thiện và hiếu khách từ đội ngũ nhân viên – luôn niềm nở, tận tình hỗ trợ. Không gian phòng sạch sẽ, gọn …",Positive,False,Staff_Service,"Nhân viên thân thiện, hiếu khách và phòng sạch sẽ."
Nguyen Thi Cam Tien,5 sao,một năm trước trên,"Mùnh muốn hỏi ad về giá giữ xe ở bãi xe tầng hầm, bảng giá xe niêm yết có mấy ngàn thôi, vậy tại sao mình đi lúc 5h30 sáng thì bảo vệ thu tiền xe tận 40.000, họ noi lý do là trước 6h thu 40.000, trong khi đó bảng giá mình đọc mà khoonh thấy ghi, giải thích giúp mình",Negative,True,Pricing_and_Fees,Customer was overcharged for parking compared to the listed price without clear explanation.
Trung Tran,5 sao,một năm trước trên,"Là một khách sạn căn hộ ngay trung tâm thành phố, gần với các địa điểm hot Thành phố. Phòng ốc hiện đại, sang trọng, lối kiến trúc trẻ trung. Có các hạng phòng và view để lựa chọn ( tầng cao đối diện Landmark 81 là một lựa chọn hoàn hảo). …",Positive,False,Location_and_Access,"Great central location with modern, stylish rooms and excellent views."
Đỗ Tâm,5 sao,một năm trước trên,"Không gian thoáng mát, phòng ốc thì siêu hợp gu với mình hiii. Mấy anh chị nhân viên thì nhiệt tình nữa. Nói chung nếu có quay lại sẽ tiếp tục ưu tiên đầu tiên",Positive,False,Staff_Service,"Comfortable space, stylish rooms, and enthusiastic staff."
Lan Anh Nguyễn,5 sao,8 tháng trước trên,"Mình đến đây tuy chỉ ở ít ngày nhưng thật sự rất bất ngờ và ấn tượng với cách phục vụ ở nơi đây, cám ơn các bạn lễ tân, buồng phòng, các bạn bảo vệ và những bạn nhân viên khác đã luôn hết mình vì công việc để đảm bảo dịch vụ khách sạn luôn ở mức tốt nhất 😊😊 …",Positive,False,Staff_Service,Impressed by the dedicated and professional service from all hotel staff.
Lân World Breaker,5 sao,một năm trước trên,"Đây đúng là lựa chọn đúng đắn cho kỳ nghỉ của mình tại TP.HCM. Vị trí thuận tiện, cơ sở vật chất hiện đại và dịch vụ chuyên nghiệp và rất ân cần với khách hàng, khách sạn này đã để lại cho mình một kỳ nghỉ đáng nhớ. …",Positive,False,Others,"Convenient location, modern facilities, and professional service made for a memorable stay."
LuuHuynh瀏,5 sao,một năm trước trên,"Đồ ăn thì làm khẩu vị vừa ăn ngon, phục vụ nhiệt tình dễ thương, vị trí quán cũng dễ tìm quán decore cũng ổn, website làm bắt mắt dễ thương, nhưng có điểm trừ là khẩu phần quá ít so với giá, ốc len xào dừa ko đắt nhưng 1 phần có xíu à. Mong quán điều chỉnh lại phù hợp hơn.",Neutral,True,F_and_B,"Good taste and service, but the portion sizes are too small for the price."
đức duy Võ,5 sao,2 năm trước trên,"Khách sạn ở vị trí thuận tiện, có dịch vụ xe shuttle bus miễn phí đi trung tâm thành phố. View sông Sài Gòn và Landmark rất đẹp, phòng rộng rãi và đầy đủ tiện nghi. Đội ngũ nhân viên và dịch vụ tại đây rất tốt. Sẽ ghé lại nếu có dịp đến Sài Gòn.",Positive,False,Location_and_Access,"Convenient location with shuttle service, beautiful views, and excellent staff."
Phúc Hậu Dễ Thương,5 sao,11 tháng trước trên,"Mọi thứ ở đây thật tuyệt vời.  Hài lòng 500%. Hãy gìn giữ và phát huy những điều tốt đẹp đang có. Chúc thành công!
❤️❤️❤️❤️❤️❤️",Positive,False,Others,Extremely satisfied with the overall experience.
3620_Nguyễn Thị Thanh Thùy,5 sao,một năm trước trên,"Không gian thoải mái, sang trọng, nhân viên phục vụ tận tâm. Cảm ơn khách sạn đã mang đến trải nghiệm tốt khi tôi công tác ở đây",Positive,False,Staff_Service,"Comfortable, luxurious space with dedicated staff."
